"((xy/key/label ""x0.01"")"	Column1	"((xy/key/label ""x0.02"")"	Column1	"((xy/key/label ""x0.03"")"	Column1	"((xy/key/label ""x0.04"")"	Column1	"((xy/key/label ""x0.05"")"	Column1	"((xy/key/label ""x0.06"")"	Column1	"((xy/key/label ""x0.07"")"	Column1	"((xy/key/label ""x0.08"")"	Column1	"((xy/key/label ""x0.09"")"	Column1	"((xy/key/label ""x0.1"")"	Column1		"((xy/key/label ""x0.01"")"	Column1	"((xy/key/label ""x0.02"")"	Column1	"((xy/key/label ""x0.03"")"	Column1	"((xy/key/label ""x0.04"")"	Column1	"((xy/key/label ""x0.05"")"	Column1	"((xy/key/label ""x0.06"")"	Column1	"((xy/key/label ""x0.07"")"	Column1	"((xy/key/label ""x0.08"")"	Column1	"((xy/key/label ""x0.09"")"	Column1	"((xy/key/label ""x0.1"")"	Column1
1044.565	0.122341	1229.693	0.120507	1323.001	0.120663	1302.553	0.126086	1384.307	0.12299	1352.104	0.12851	1400.665	0.122589	1394.468	0.125139	1408.195	0.122638	1391.137	0.12818		955.435	0.122341	770.307	0.120507	676.999	0.120663	697.447	0.126086	615.693	0.12299	647.896	0.12851	599.335	0.122589	605.532	0.125139	591.805	0.122638	608.863	0.12818
1010.272	0.125202	1219.403	0.121079	1301.692	0.121921	1288.481	0.127127	1374.767	0.123863	1320.086	0.131903	1397.175	0.123832	1386.788	0.127801	1400.214	0.124576	1385.726	0.13005		989.728	0.125202	780.597	0.121079	698.308	0.121921	711.519	0.127127	625.233	0.123863	679.914	0.131903	602.825	0.123832	613.212	0.127801	599.786	0.124576	614.274	0.13005
1007.798	0.125478	1181.828	0.123122	1279.924	0.123285	1263.809	0.12915	1364.398	0.124699	1315.129	0.132445	1393.522	0.125	1383.005	0.128778	1397.641	0.125205	1382.575	0.131216		992.202	0.125478	818.172	0.123122	720.076	0.123285	736.191	0.12915	635.602	0.124699	684.871	0.132445	606.478	0.125	616.995	0.128778	602.359	0.125205	617.425	0.131216
979.53	0.128406	1166.67	0.124088	1255.026	0.12479	1263.809	0.12915	1339.018	0.126786	1293.161	0.135077	1381.36	0.127401	1367.942	0.131863	1395.203	0.126011	1378.436	0.132642		1020.47	0.128406	833.33	0.124088	744.974	0.12479	736.191	0.12915	660.982	0.126786	706.839	0.135077	618.64	0.127401	632.058	0.131863	604.797	0.126011	621.564	0.132642
977.92	0.128625	1146.24	0.125366	1237.201	0.12601	1263.645	0.129163	1335.226	0.127097	1282.24	0.136396	1379.496	0.127804	1366.306	0.132149	1388.566	0.128196	1371.998	0.134498		1022.08	0.128625	853.76	0.125366	762.799	0.12601	736.355	0.129163	664.774	0.127097	717.76	0.136396	620.504	0.127804	633.694	0.132149	611.434	0.128196	628.002	0.134498
960.22	0.130874	1113.338	0.127998	1206.987	0.128137	1263.492	0.129177	1298.288	0.130429	1262.318	0.138897	1376.795	0.128214	1362.084	0.132743	1387.083	0.128703	1363.264	0.136737		1039.78	0.130874	886.662	0.127998	793.013	0.128137	736.508	0.129177	701.712	0.130429	737.682	0.138897	623.205	0.128214	637.916	0.132743	612.917	0.128703	636.736	0.136737
959.58	0.130977	1109.128	0.128322	1183.721	0.130032	1263.104	0.129213	1293.742	0.130837	1250.286	0.140375	1362.622	0.130208	1344.263	0.135361	1379.847	0.13104	1358.396	0.137732		1040.42	0.130977	890.872	0.128322	816.279	0.130032	736.896	0.129213	706.258	0.130837	749.714	0.140375	637.378	0.130208	655.737	0.135361	620.153	0.13104	641.604	0.137732
943.21	0.133261	1099.379	0.129227	1166.211	0.131632	1213.448	0.133781	1287.711	0.131459	1221.532	0.144084	1352.264	0.131478	1336.707	0.13643	1373.599	0.132457	1354.161	0.138585		1056.79	0.133261	900.621	0.129227	833.789	0.131632	786.552	0.133781	712.289	0.131459	778.468	0.144084	647.736	0.131478	663.293	0.13643	626.401	0.132457	645.839	0.138585
942.92	0.133328	1086.718	0.130375	1161.401	0.132096	1196.538	0.135526	1268.674	0.133437	1215.686	0.144861	1343.957	0.132523	1315.034	0.139404	1367.088	0.133907	1340.311	0.141006		1057.08	0.133328	913.282	0.130375	838.599	0.132096	803.462	0.135526	731.326	0.133437	784.314	0.144861	656.043	0.132523	684.966	0.139404	632.912	0.133907	659.689	0.141006
939.34	0.133982	1071.799	0.131741	1138.641	0.134294	1188.612	0.136333	1259.358	0.134493	1184.825	0.14927	1328.256	0.134419	1309.493	0.140191	1358.783	0.135589	1333.037	0.142385		1060.66	0.133982	928.201	0.131741	861.359	0.134294	811.388	0.136333	740.642	0.134493	815.175	0.14927	671.744	0.134419	690.507	0.140191	641.217	0.135589	666.963	0.142385
919.14	0.137585	1064.035	0.132447	1112.622	0.137111	1173.12	0.138057	1237.872	0.136843	1184.333	0.149347	1327.085	0.134559	1284.965	0.143761	1345.742	0.13772	1323.28	0.144092		1080.86	0.137585	935.965	0.132447	887.378	0.137111	826.88	0.138057	762.128	0.136843	815.667	0.149347	672.915	0.134559	715.035	0.143761	654.258	0.13772	676.72	0.144092
915.58	0.138272	1048.334	0.13416	1102.824	0.138159	1159.864	0.1395	1202.982	0.140934	1181.678	0.149789	1311.64	0.136546	1284.466	0.143837	1330.63	0.140123	1320.898	0.144494		1084.42	0.138272	951.666	0.13416	897.176	0.138159	840.136	0.1395	797.018	0.140934	818.322	0.149789	688.36	0.136546	715.534	0.143837	669.37	0.140123	679.102	0.144494
909.09	0.140358	1029.573	0.136153	1098.622	0.138602	1155.071	0.140088	1201.753	0.141074	1161.569	0.153109	1305.201	0.137384	1282.131	0.1442	1330.052	0.140208	1318.907	0.144839		1090.91	0.140358	970.427	0.136153	901.378	0.138602	844.929	0.140088	798.247	0.141074	838.431	0.153109	694.799	0.137384	717.869	0.1442	669.948	0.140208	681.093	0.144839
903.86	0.142358	1017.53	0.137809	1094.645	0.139092	1139.977	0.141897	1201.217	0.141141	1158.806	0.153588	1281.316	0.140568	1260.798	0.147483	1305.422	0.143984	1301.343	0.147902		1096.14	0.142358	982.47	0.137809	905.355	0.139092	860.023	0.141897	798.783	0.141141	841.194	0.153588	718.684	0.140568	739.202	0.147483	694.578	0.143984	698.657	0.147902
899.58	0.144381	991.3	0.141801	1071.318	0.141861	1124.806	0.143953	1199.681	0.141342	1156.635	0.154023	1271.03	0.141957	1256.504	0.148166	1301.37	0.144608	1286.808	0.150708		1100.42	0.144381	1008.7	0.141801	928.682	0.141861	875.194	0.143953	800.319	0.141342	843.365	0.154023	728.97	0.141957	743.496	0.148166	698.63	0.144608	713.192	0.150708
898.3	0.145353	987.18	0.14265	1047.483	0.145486	1113.654	0.145553	1168.968	0.145228	1133.45	0.158535	1252.222	0.144591	1235.114	0.151863	1287.138	0.146958	1281.327	0.151796		1101.7	0.145353	1012.82	0.14265	952.517	0.145486	886.346	0.145553	831.032	0.145228	866.55	0.158535	747.778	0.144591	764.886	0.151863	712.862	0.146958	718.673	0.151796
893.26	0.148121	978.29	0.144848	1025.265	0.149814	1092.214	0.148878	1156.103	0.147062	1126.57	0.160173	1237.124	0.146753	1218.616	0.154977	1287.055	0.146972	1257.364	0.156983		1106.74	0.148121	1021.71	0.144848	974.735	0.149814	907.786	0.148878	843.897	0.147062	873.43	0.160173	762.876	0.146753	781.384	0.154977	712.945	0.146972	742.636	0.156983
890.29	0.149639	965.37	0.147796	1010.73	0.153272	1081.331	0.15078	1134.109	0.15046	1117.829	0.162308	1223.422	0.148802	1203.989	0.157988	1260.554	0.151783	1252.343	0.158119		1109.71	0.149639	1034.63	0.147796	989.27	0.153272	918.669	0.15078	865.891	0.15046	882.171	0.162308	776.578	0.148802	796.011	0.157988	739.446	0.151783	747.657	0.158119
